ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,sector,industry
IQV,IQVIA Holdings,55,3.5,,,,9/8/19,Healthcare,Diagnostics & Research
LH,Laboratory Corp. of America,40,,1,0,,8/4/18,Healthcare,Diagnostics & Research
MTD,Mettler-Toledo International,,,1,0,,8/4/18,Healthcare,Diagnostics & Research
WAT,Waters,77,,1,0,,8/4/18,Healthcare,Diagnostics & Research
BURL,Burlington Stores,,,,,maybe,,Consumer Defensive,Discount Stores
ARNC,Arconic,36,,1,0,,8/4/18,Industrials,Diversified Industrials
IR,Ingersoll-Rand PLC,61,,1,0,,8/4/18,Industrials,Diversified Industrials
AGN,"Allergan, Plc",46,,1,0,,8/4/18,Healthcare,Drug Manufacturers - Specialty & Generic
TEVA,Teva Pharmaceutical Industries,,,1,0,,8/4/18,Healthcare,Drug Manufacturers - Specialty & Generic
ACB,Aurora Cannabis Inc.,,,,,,,Healthcare,Drug Manufacturers—Specialty & Generic
SANM,Sanmina,,,,,,,Technology,Electronic Components
GLUU,Glu Mobile Inc,,,1,0,,8/4/18,Technology,Electronic Gaming & Multimedia
ACM,AECOM,44,3.2,,,,9/8/19,Industrials,Engineering & Construction
JEC,Jacobs Engineering Group,48,,1,0,,8/4/18,Industrials,Engineering & Construction
MTZ,MasTec,,,,,,,Industrials,Engineering & Construction
PFGC,Performance Food Group,41,,1,0,,8/4/18,Consumer Defensive,Food Distribution
WBAI,500.com Limited,,,,,,,Consumer Cyclical,Gambling
SFM,Sprouts Farmers Market,,,1,0,,8/4/18,Consumer Defensive,Grocery Stores
SVU,Supervalu,,,1,0,,8/4/18,Consumer Defensive,Grocery Stores
ESRX,Express Scripts Holding,38,,1,0,,8/4/18,Healthcare,Health Care Plans
MGLN,Magellan Health,,,,,,,Healthcare,Health Care Plans
MOH,Molina Healthcare,,,,,,,Healthcare,Health Care Plans
WCG,WellCare Health Plans,66,3.8,1,0,maybe,9/8/19,Healthcare,Health Care Plans
