ticker,security,,,outlook,rating,use,trust,upward_trend,outlook_date,revenue,rev_change_percent,profit ,profit_change_percent,assets,market_value,sector_y,industry_y,webscrape_date,net_income,ft_employee,proft/employee,div_yield,three_year,five_year,ten_year,,rd,peg,profit_margin,roa,roe
ALXN,Alexion Pharmaceuticals,,,33,,1,0,,8/4/18,,,,,,,Healthcare,Biotechnology,11/2/20,957,,#DIV/0!,,-0.23,-8.67,12.73,,978,0.7,16.32,5.91,8.92
AMAT,Applied Materials,,,78,,1,0,no,8/4/18,17253000000,0.187,3313000000,-0.035,17773000000,37652900000,Technology,Semiconductor Equipment & Materials,11/2/20,3186,21000,151714.2857,1.45,3.63,30.29,17.98,,2189,1,19.58,15.94,36.03
BEN,Franklin Templeton Investments,,,56,,1,0,,8/4/18,6319100000,-0.011,764400000,-0.549,14383500000,16885200000,Financial Services,Asset Management,11/2/20,,9691,,5.76,-15.86,-7.98,-2.25,,,0,18.82,6.75,10.13
AMBA,"Ambarella, Inc.",,,,,,,no,,,,,,,,Technology,Semiconductor Equipment & Materials,11/2/20,,,,,-0.6,0.85,,,,15,-20.67,-9.28,-10.71
AMCX,AMC Networks,,,22,,0,0,,8/4/18,,,,,,,Consumer Cyclical,Broadcasting - TV,11/2/20,,,#DIV/0!,,-22.46,-21.46,,,,0,6.66,3.53,32.16
MSFT,Microsoft,,,75,4.3,0,0,yes,11/3/20,1.10E+11,0.227,16571000000,-0.218,2.59E+11,9.05E+11,Technology,Software - Infrastructure,11/3/20,47496,131000,362564.8855,,35.24,31.69,22.92,29.95,19630,2.4,32.29,16.38,41.4
AME,Ametek,,,25,,1,0,,8/4/18,,,,,,,Industrials,Diversified Industrials,11/2/20,,,#DIV/0!,0.69,15.01,13.57,15.82,,,2.4,18.77,8.88,16.5
AMID,American Midstream Partners LP,,,18,,1,0,,8/4/18,,,,,,,Basic Materials,Oil & Gas Pipelines,11/2/20,,,#DIV/0!,,,,,,,,,,
BHP,BHP Group,,,,,,,,,,,,,,,Basic Materials,Industrial Metals & Minerals,11/2/20,,,,4.99,10.37,12.8,-1.3,,,0,18.53,7.74,16.72
AMP,Ameriprise Financial,,,66,3.7,1,0,maybe,9/8/19,12924000000,0.07,2098000000,0.418,1.37E+11,17345100000,Financial Services,Asset Management,11/2/20,,14062,0,2.5,3.04,9.08,13.79,,,2.2,20.5,1.65,39.95
WMT,Walmart,,,47,3.3,0,0,maybe,11/3/20,5.14E+11,0.028,6670000000,-0.324,2.19E+11,2.80E+11,Consumer Defensive,Discount Stores,11/3/20,,2200000,0,1.55,18.22,21.21,11.27,,,3.8,3.3,7.58,24.57
CODX,Co-Diagnostics,,,,,,,,,,,,,,,,,11/2/20,8,,#DIV/0!,,32.85,,,,2,0,31.42,38.75,42.38
CRM,salesforce.com,,,84,,0,0,yes,8/4/18,13282000000,0.267,1110000000,7.707,30737000000,1.22E+11,Technology,Software - Application,11/2/20,2367,35000,67628.57143,,31.34,24.03,23.2,,3362,3.1,12.21,5.2,8.51
AN,AutoNation,,,39,,1,0,,8/4/18,21412800000,-0.006,396000000,-0.089,10665100000,3216900000,Consumer Cyclical,Auto & Truck Dealerships,,,26000,0,,,,,,,,,,
ANDV,Andeavor,,,70,,1,0,,8/4/18,,,,,,,Energy,Oil & Gas Refining & Marketing,11/2/20,,,#DIV/0!,,,,,,,,,,
BKEP,Blueknight Energy Partners L.P.,,,58,,1,0,,8/4/18,,,,,,,Energy,Oil & Gas Midstream,11/2/20,,,,11.51,-27.41,-10.91,-2.66,,,0,,,
ANGI,ANGI Homeservices Inc,,,,,1,0,,8/4/18,,,,,,,Technology,Internet Content & Information,11/2/20,22,,#DIV/0!,,-3.91,7.34,,,66,0,1.55,1.11,1.64
CHD,Church & Dwight,,,71,,1,0,yes,8/4/18,,,,,,,Consumer Defensive,Household & Personal Products,11/2/20,,,#DIV/0!,1.07,25.87,16.6,19.07,20.51333333,,3.6,16.44,11.4,27.04
DE,Deere,,,73,4.1,1,0,maybe,9/8/19,37357700000,0.256,2368400000,0.097,70108000000,50908000000,Industrials,Farm & Construction Equipment,11/2/20,2714,74413,36472.12181,1.35,21.37,25.04,12.67,19.69333333,1689,3.4,7.67,3.6,21.58
LLY,Lilly (Eli) & Co.,,,72,4,1,0,,11/3/20,24555700000,0.074,3232000000,-,43908400000,1.34E+11,Healthcare,Drug Manufacturers - Major,11/3/20,5573,38680,144079.6277,,18.75,11.8,15.78,,5829,1,24.01,13.62,135.76
JD,"JD.com, Inc.",,,53,3.6,,,,11/3/20,,,,,,,Consumer Cyclical,Specialty Retail,11/3/20,21769,,#DIV/0!,,29.53,23.5,,,14715,1,3.33,7.28,21.11
OLED,Universal Display Corporation,,,,,,,,,,,,,,,,,11/3/20,106,,#DIV/0!,,10.54,41.24,22.1,,82,1.6,27.01,9.19,12.62
APC,Anadarko Petroleum,,,46,,1,0,,8/4/18,13382000000,0.124,615000000,-,40376000000,22828200000,Energy,Oil & Gas E&P,11/2/20,,4700,0,,,,,,,,,,
ABT,Abbott Laboratories,,,58,,1,0,,8/4/18,30578000000,0.116,2368000000,3.964,67173000000,1.40E+11,Healthcare,Medical Devices,11/2/20,3110,107000,29065.42056,1.37,26.98,20.08,11.65,,2333,3.3,9.89,4.53,9.99
APH,Amphenol,,,47,,1,0,,8/4/18,8202000000,0.17,1205000000,0.852,10044900000,28151400000,Technology,Electronic Components,11/2/20,,73600,0,0.89,10.4,16.68,16.77,,,2.4,14,10.39,25.34
APRN,Blue Apron,,,,,,,,,,,,,,,,,11/2/20,,,,,-58.18,,,,,0,-12.78,-20.24,-69.7
AR,Antero Resources Corporation,,,,,,,,,,,,,,,Energy,Oil & Gas E&P,11/2/20,,,,,-42.25,-31.09,,,,0,-61.51,-12.35,-27.75
ARMK,Aramark,,,,,,,,,15789600000,0.081,567900000,0.519,13720100000,7278100000,Consumer Cyclical,Restaurants,11/2/20,,227200,,1.59,-11.94,0.09,,,,0,-1.61,-1.55,-7.36
ARNC,Arconic,,,36,,1,0,,8/4/18,14014000000,0.081,642000000,-,18693000000,8658400000,Industrials,Diversified Industrials,11/2/20,147,43000,3418.604651,,,,,,39,0,2.33,2.56,12.83
XLNX,Xilinx,,,65,,1,0,maybe,8/4/18,,,,,,,Technology,Semiconductors,11/3/20,612,,#DIV/0!,1.26,19.23,21.32,16.98,19.17666667,856,4.3,20.58,11.55,23.77
ARW,Arrow Electronics,,,,,,,,,29676800000,0.107,716200000,0.782,17784400000,6564400000,Technology,Electronics Distribution,11/2/20,,20100,0,,0.29,7.29,10.33,,,1.9,1.67,2.95,9.72
SGEN,"Seattle Genetics, Inc.",,,90,4.1,,,,11/3/20,,,,,,,Healthcare,Biotechnology,11/3/20,472,,#DIV/0!,,40.48,31.56,28.12,,812,0,25.34,18.52,23.4
SHOP,Shopify,,,81,4.2,,yes,,11/3/20,,,,,,,,,11/3/20,196,,#DIV/0!,,109.23,96.84,,,496,0,7.99,3.69,4.37
BPTH,Bio-Path,,,,,,,,,,,,,,,,,11/2/20,,,,,-65.23,-59.14,-26.97,,,0,,,
UI,Ubiquiti Inc,,,55,3.2,,,,11/3/20,,,,,,,,,11/3/20,380,,#DIV/0!,0.7,44.1,44.67,,,89,0,,,
SPCE,Virgin Galactic,,,70,3.8,,,,11/3/20,,,,,,,,,11/3/20,,,#DIV/0!,,19.88,,,,,0,,,
ASX,Australian Services Exchange,,,,,1,0,no,,,,,,,,Technology,Semiconductors,11/2/20,24142,,#DIV/0!,,0.72,3.54,7.69,,19391,0,5.44,4.22,11.86
O,Realty Income Corporation,,,88,,1,0,,8/4/18,,,,,,,Real Estate,REIT - Retail,,,,#DIV/0!,,,,,,,,,,
ATUS,Altice USA,,,,,,,,,9566600000,0.026,18800000,-0.988,33613800000,14708000000,Communication Services,Telecom Services,11/2/20,,11993,0,,5.56,,,,,0.3,1.08,0.31,7.53
ATVI,Activision Blizzard,,,70,,0,0,,8/4/18,7500000000,0.069,1813000000,5.641,17835000000,34777400000,Technology,Electronic Gaming & Multimedia,11/2/20,2213,9900,223535.3535,0.54,5.8,17.7,21.29,,1098,1.6,28.89,11.24,16.63
AVB,AvalonBay Communities,,,83,,0,0,,8/4/18,,,,,,,Real Estate,REIT - Residential,11/2/20,,,#DIV/0!,4.52,-3.22,-0.65,6.08,,,4.7,33.24,4.1,7.25
AVT,Avnet,,,37,3.3,,,,9/8/19,19036900000,-0.168,-156400000,-1.298,9596800000,4702500000,Technology,Electronics Distribution,11/2/20,,15400,,3.4,-10.54,-8.28,0.24,,,0.9,-0.52,-1.06,-2.37
OA,Orbital ATK,,,66,,1,0,,8/4/18,,,,,,,,,11/3/20,,,#DIV/0!,,,,,,,,,,
PLD,Prologis,,,,,1,0,,8/4/18,,,,,,,Real Estate,REIT - Industrial,11/3/20,,,#DIV/0!,2.29,17.91,20.61,15.2,17.90666667,,5.6,38,3.32,5.79
P,Pandora,,,37,3.7,0,0,,11/3/20,,,,,,,,,,,,#DIV/0!,,,,,,,,,,
RTN,Raytheon,,,71,,1,0,,8/4/18,27058000000,0.067,2909000000,0.437,31864000000,51390100000,Industrials,Aerospace & Defense,11/3/20,,67000,0,,,,,,,,,,
AXP,American Express,,,57,,0,0,,8/4/18,43281000000,0.216,6921000000,1.53,1.89E+11,91675100000,Financial Services,Credit Services,11/2/20,,59000,0,,0.75,6.36,9.5,,,1.6,11.66,1.72,14.63
AXTA,Axalta Coating Systems Ltd,,,,,1,0,no,8/4/18,,,,,,,Basic Materials,Specialty Chemicals,11/2/20,94,,#DIV/0!,,-7.85,-1.82,,,58,0,,,
GOOG,Alphabet,,,70,4.1,,,yes,9/8/19,1.37E+11,0.234,30736000000,1.427,2.33E+11,8.17E+11,Technology,Internet Content & Information,11/2/20,35713,98771,361573.7413,,16.61,17.66,,,27773,1.4,20.8,12.7,17.51
AYI,Acuity Brands,,,40,,1,0,,8/4/18,,,,,,,Technology,Electronic Components,11/2/20,,,#DIV/0!,0.58,-16.42,-15.35,6.73,,,1.2,7.46,7.45,12.27
AYX,Alteryx,,,,,,,,,,,,,,,,,11/2/20,,,,,75.72,,,,,0,-5.66,-2.66,-7.1
AZO,AutoZone,,,42,,1,0,,8/4/18,11221100000,0.031,1337500000,0.044,9347000000,25487900000,Consumer Cyclical,Specialty Retail,11/2/20,,72450,0,,23.71,7.76,16.97,,,1.5,,,
V,Visa,,,74,3.8,0,0,yes,11/3/20,20609000000,0.123,10301000000,0.538,69225000000,3.44E+11,Financial Services,Credit Services,,,17000,0,,,,,,,,,,
BA,Boeing,,,53,,0,0,,8/4/18,1.01E+11,0.083,10460000000,0.276,1.17E+11,2.15E+11,Industrials,Aerospace & Defense,11/2/20,,153000,0,2.85,-13.98,3.55,10.43,,,0,,,
XYL,Xylem,,,51,,1,0,,8/4/18,,,,,,,Industrials,Diversified Industrials,11/3/20,224,,#DIV/0!,1.17,10.78,20.34,,,187,3.4,4.6,2.81,7.79
BAC,Bank of America Corp.,,,55,,1,1,,8/4/18,1.11E+11,0.103,28147000000,0.544,2.35E+12,2.66E+11,Financial Services,Banks - Global,11/2/20,,204489,0,,-2.36,9.22,8.97,,,3.4,20.52,0.7,7.35
EL,Estee Lauder,,,54,,,0,,8/4/18,13683000000,0.157,1108000000,-0.113,12567000000,59790500000,Consumer Defensive,Household & Personal Products,11/2/20,,46000,0,0.66,23.9,21.59,20.88,,,3.2,4.79,4.42,16.44
TXN,Texas Instruments,,,78,,0,0,maybe,8/4/18,15784000000,0.055,5580000000,0.515,17137000000,99559200000,Technology,Semiconductors,11/3/20,4977,29888,166521.6809,2.57,16.84,22.65,18.61,19.36666667,1528,2.4,36.28,27.53,57.57
BAX,Baxter International,,,46,,1,0,,8/4/18,11127000000,0.054,1624000000,1.265,15641000000,41558900000,Healthcare,Medical Instruments & Supplies,11/2/20,911,50000,18220,1.2,8.18,16.82,9.11,,542,2.4,7.9,4.87,11.28
CATO,Cato Corp,,,,,,,,,,,,,,,,,11/2/20,,,,10.78,-10.07,-20.46,-3.66,,,0,-4.82,-5.01,-10.46
CMS,CMS Energy,,,41,,1,0,,8/4/18,6873000000,0.044,657000000,0.428,24529000000,15760000000,Utilities,Utilities - Regulated Electric,11/2/20,,8291,0,2.53,12.51,14.71,15.16,,,3.1,11.44,2.76,14.87
BCE,BCE Inc.,,,,,,,,,,,,,,,Communication Services,Telecom Services,11/2/20,,,#DIV/0!,6.09,0.29,3.65,6.38,,,0,10.5,4.05,14.92
BCR,C.R. Bard,,,48,,1,0,,8/4/18,,,,,,,Health Care,Health Care Equipment,11/2/20,,,#DIV/0!,,,,,,,,,,
PHM,PulteGroup,,,,,,,no,,10188300000,0.188,1022000000,1.285,10173000000,7758400000,Consumer Cyclical,Residential Construction,11/3/20,,5086,0,1.18,13.01,19.14,18.69,16.94666667,,0,11.9,11.95,22.63
ADYEY,Adyen,,,,,,,,,,,,,,,Technology,Software—Infrastructure,11/2/20,,1448,0,,,,,,,3.1,6.18,7.23,23.18
BDX,Becton Dickinson,,,50,,1,0,,8/4/18,15983000000,0.322,311000000,-0.717,53904000000,67193200000,Healthcare,Medical Instruments & Supplies,11/2/20,908,76032,11942.34007,1.37,2.89,11.5,13.16,,1067,2.5,4.65,1.48,3.46
BECN,Beacon Roofing Supply,,,,,,,,,6418300000,0.466,98600000,-0.022,6508700000,2201000000,Basic Materials,Building Materials,11/2/20,,8356,,,-15.41,-1.78,8.34,,,0,-2.15,-2.16,-8.48
CCJ,Cameo Corp,,,,,,,,,,,,,,,,,11/2/20,43,,,0.64,4.64,-5.61,-9.08,,5,0,2.08,0.55,0.87
BEP,Brookfield Renewable Partners,,,53,3.9,1,0,,9/8/19,,,,,,,Utilities,Utilities - Independent Power Producers,11/2/20,,,,,32.57,24.89,15.28,,,0,-2.95,-0.25,-1.64
CCL,Carnival Corp.,,,60,,0,0,maybe,8/4/18,,,,,,,Consumer Cyclical,Leisure,11/2/20,,,,7.29,-34.35,-16.88,-4.75,,,0,-73.4,-16.01,-33.89
BERY,Berry Global Group,,,,,,,,,7869000000,0.109,496000000,0.459,9131000000,7024900000,Consumer Cyclical,Packaging & Containers,11/2/20,,24000,0,,-6.83,7.1,,,,0,5.06,4.64,34.76
NDAQ,Nasdaq,,,66,,1,0,yes,8/4/18,,,,,,,Financial Services,Financial Exchanges,11/3/20,,,#DIV/0!,1.59,20.67,17.05,20.01,19.24333333,,1.1,16.22,5.56,14.1
BHF,Brighthouse Financial,,,,,,,,,8965000000,-,865000000,-,2.06E+11,4230200000,Financial Services,Insurance - Life,11/2/20,,1260,0,,-18.06,,,,,0,22.08,1.12,13.72
BHI,Baker Hughes,,,37,,1,0,,8/4/18,,,,,,,Energy,Oil & Gas Equipment & Services,11/2/20,,,#DIV/0!,,,,,,,,,,
CENX,Century Aluminum,,,,,1,0,,,,,,,,,Basic Materials,Aluminum,11/2/20,,,,,-21.06,12.61,-6.87,,,0,-3.25,-3.63,-8.11
BIDU,Baidu,,,,,,,,,,,,,,,Technology,Internet Content & Information,11/2/20,3592,,#DIV/0!,,-17.88,-7.24,2.04,,18728,0,3.33,1.15,2.13
BIIB,Biogen,,,31,,1,0,,8/4/18,13452900000,0.096,4430700000,0.745,25288900000,46498000000,Healthcare,Drug Manufacturers - Major,11/2/20,5082,7800,651538.4615,,-6.98,-2.54,15.51,,2957,0,35.63,19.39,41.06
BIP,Brookfield Infrastructure Partners,,,,,,,,,,,,,,,,,11/2/20,,,#DIV/0!,4.69,8.03,15.04,15.73,,,0,,,
BITA,Bitauto Holdings Limited,,,,,,,,,,,,,,,Consumer Cyclical,Advertising Agencies,11/2/20,,,,,-29.64,-12.92,,,,0,-25.68,-4.75,-23.47
MDT,Medtronic plc,,,62,,1,0,,8/4/18,,,,,,,Healthcare,Medical Devices,11/3/20,4412,,#DIV/0!,2.23,,,,,2365,3.1,15.8,4.77,8.77
BK,Bank of New York Mellon Corp.,,,47,,1,0,,8/4/18,19214000000,0.156,4266000000,0.043,3.63E+11,48152700000,Financial Services,Asset Management,11/2/20,,51300,0,,-9.14,-1.02,5.55,,,0,26.65,1.03,10.95
BKI,Black Knight,,,,,1,0,,8/4/18,,,,,,,Technology,Software - Infrastructure,11/2/20,,,#DIV/0!,,24.62,19.75,,,,6.4,11.78,3.41,6.49
BKNG,Booking Holdings,,,,,,,,,14527000000,0.146,3998000000,0.708,22687000000,78543200000,Consumer Cyclical,Leisure,11/2/20,,24500,0,,-5.67,1.8,15.45,,,4.8,22.52,12,54.67
BKS,Barnes & Noble,,,27,,0,0,,8/4/18,,,,,,,Consumer Cyclical,Specialty Retail,11/2/20,,,#DIV/0!,,,,,,,,,,
BKU,"BankUnited, Inc.",,,35,2.9,,,,9/8/19,,,,,,,Financial Services,Banks - Regional - US,11/2/20,,,#DIV/0!,3.56,-4.66,-4.41,,,,0,22.98,0.6,7.18
BLDP,Ballard Power Systems,,,,,,,,,,,,,,,,,11/2/20,,,,,39.95,56.6,24.25,,,0,-38.61,-12.54,-16.14
CHS,CHS,,,,,,,,,32683300000,0.02,775900000,9.838,16381200000,#VALUE!,Consumer Cyclical,Apparel Stores,11/2/20,,10495,,16.59,-36.76,-28.22,-8.9,,,0,-14.87,-15.84,-56.18
EQIX,Equinix,,,84,,1,0,,8/4/18,,,,,,,Real Estate,REIT - Diversified,11/2/20,,,#DIV/0!,,16.23,20.83,25.24,,,2.9,7.58,1.8,4.59
BLL,Ball,,,43,,1,0,,8/4/18,11635000000,0.059,454000000,0.214,16554000000,19335000000,Consumer Cyclical,Packaging & Containers,11/2/20,,17500,0,0.67,29.94,21.32,19.24,,,3.9,3.28,2.19,11.86
BLMN,Bloomin Brands,,,,,1,0,,8/4/18,,,,,,,Consumer Cyclical,Restaurants,11/2/20,,,,2.15,-3.97,-1.59,,,,0,-3.55,-3.51,-160.62
EXPN,Experian PLC,,,61,3.7,1,0,yes,9/8/19,,,,,,,Industrials,Business Services,11/2/20,,,#DIV/0!,,23.38,22.13,15.5,,,2.9,13.03,7.95,28.39
CIOXY,Cielo SA,,,52,,1,0,,8/4/18,,,,,,,Technology,Software - Infrastructure,11/2/20,,,,,-45.41,-25.49,-4.28,,,0,6.32,0.85,7.64
BMO,Bank of Montreal,,,,,,,,,,,,,,,Financial Services,Banks - Global,11/2/20,,,#DIV/0!,5.32,-3.62,5.26,4.06,,,0,17.74,0.49,9.44
BMW,BMW,,,,,1,0,,,,,,,,,,,11/2/20,,,#DIV/0!,,-8.51,-4.08,5.22,,,0.5,3.32,1.46,5.64
CLF,Cliffs Natural Resources,,,25,,0,0,,8/4/18,,,,,,,Basic Materials,Industrial Metals & Minerals,11/2/20,,,,2.17,12.11,24.69,-15.15,,,0,-3.38,-2.05,-20.98
CLR,Continental Resources,,,76,,,0,,8/4/18,,,,,,,Energy,Oil & Gas E&P,11/2/20,,,,0.83,-32.5,-17.76,-6.44,,,0,-2.17,-0.48,-1.15
BMY,Bristol-Myers Squibb,,,53,,1,0,,8/4/18,22561000000,0.086,4920000000,3.886,34986000000,77895000000,Healthcare,Drug Manufacturers - Major,11/2/20,,23300,,3.08,1.22,0.56,10.74,,,0.8,-1.61,-0.61,-1.73
ENPH,Enphase Energy,,,,,,,,,,,,,,,,,11/2/20,178,,#DIV/0!,,315.26,97.11,,,51,0,24.69,21.99,62.51
ASML,ASML Holding ADR,,,79,,1,0,maybe,8/4/18,,,,,,,Technology,Semiconductor Equipment & Materials,11/2/20,3287,,#DIV/0!,0.73,27,31.91,24.04,,2161,1.8,24.25,14.46,25.86
BPL,Buckeye Partners L.P.,,,49,,1,0,,8/4/18,,,,,,,Energy,Oil & Gas Midstream,11/2/20,,,#DIV/0!,,,,,,,,,,
ACN,Accenture plc,,,70,,1,0,yes,8/4/18,,,,,,,Technology,Information Technology Services,11/2/20,,506000,0,1.62,16.53,16.5,18.23,17.08666667,,3.1,11.52,15.28,32.52
BRK.A,Berkshire Hathaway,,,44,3.1,1,0,yes,9/8/19,2.48E+11,0.024,4021000000,-0.911,7.08E+11,4.94E+11,Financial Services,Insurance - Diversified,11/2/20,,389000,0,,2.63,8.08,9.76,,,0,8.53,2.87,5.73
BRK.B,Berkshire Hathaway,,,44,3.1,1,0,yes,9/8/19,,,,,,,Financial Services,Insurance - Diversified,11/2/20,,,#DIV/0!,,2.7,8.1,9.77,,,0,8.53,2.87,5.73
BSET,Bassett Furniture Industries,,,37,,1,0,,8/4/18,,,,,,,Consumer Cyclical,Home Furnishings & Fixtures,11/2/20,,,,3.08,-24.96,-11.02,16.56,,,1,-5.8,-6.6,-13.1
BSIG,BrightSphere Investment Group,,,,,,,,,,,,,,,,,11/2/20,,,#DIV/0!,1.52,-2.03,-0.57,,,,0,25.53,13.67,652.26
BSX,Boston Scientific,,,75,,1,0,,8/4/18,9823000000,0.086,1671000000,15.067,20999000000,53367400000,Healthcare,Medical Devices,11/2/20,3985,32000,124531.25,,7.98,12.87,18.29,,1157,2.4,39.18,14.44,31.79
BTU,Peabody Energy,,,,,,,,,5581800000,0.001,646900000,-,7423700000,3065600000,Basic Materials,Coal,11/2/20,,7400,,11.24,-49,,,,,0,-55.36,-33.91,-99.46
BUD,Anheuser-Busch,,,54,,0,0,no,8/4/18,,,,,,,Consumer Defensive,Beverages - Brewers,11/2/20,,,#DIV/0!,2.8,-20.85,-10.71,2.23,,,5.5,2.54,0.53,1.87
BURBY,Burberry,,,,,,,,,,,,,,,,,11/2/20,,,#DIV/0!,0.84,-8.98,-0.62,2.92,,,1.5,4.62,4.33,9.12
BURL,Burlington Stores,,,,,,,,,6668500000,0.091,414700000,0.078,3079200000,10509600000,Consumer Defensive,Discount Stores,11/2/20,,44000,,,25.2,31.48,,,,3.1,-1.34,-1.36,-26.92
BWA,BorgWarner,,,65,,1,0,,8/4/18,10529600000,0.075,930700000,1.116,10095300000,7974300000,Consumer Cyclical,Auto Parts,11/2/20,,30000,0,1.94,-10.72,-1.98,3.55,,,1.1,4.11,3.43,7.86
INTU,Intuit,,,84,,0,1,,8/4/18,5964000000,0.152,1211000000,0.247,5178000000,67724300000,Technology,Software - Application,11/3/20,1826,8900,205168.5393,0.69,28.41,27.21,21.09,,1392,2.8,23.78,21.22,41.24
BXP,Boston Properties,,,63,,1,0,,8/4/18,,,,,,,Real Estate,REIT - Office,11/2/20,,,#DIV/0!,5.41,-10.8,-6.25,2.58,,,0,34.78,4.57,17.59
BZUN,Baozun Inc.,,,,,,,,,,,,,,,Consumer Cyclical,Specialty Retail,11/2/20,,,#DIV/0!,,6.01,35.46,,,,0,3.8,4.6,11.89
ITW,Illinois Tool Works,,,59,,1,0,,8/4/18,14768000000,0.032,2563000000,0.519,14870000000,46922600000,Industrials,Diversified Industrials,11/3/20,,48000,0,,10.85,18.54,17.18,,,2.8,16.77,14.1,74.46
CA,CA Technologies Inc,,,40,,1,0,,8/4/18,,,,,,,Information Technology,Systems Software,11/2/20,,,#DIV/0!,,,,,,,,,,
CACC,Credit Acceptance,,,64,3.8,1,0,yes,9/8/19,,,,,,,Financial Services,Credit Services,11/2/20,,,#DIV/0!,,2.58,9.14,17.98,,,0,25.91,5.75,17.76
CAE,CAE Inc.,,,55,,1,0,,8/4/18,,,,,,,Industrials,Aerospace & Defense,11/2/20,139,,#DIV/0!,0.95,-0.01,10.1,5.62,,126,0,4.16,1.85,6.14
CAG,ConAgra Foods,,,31,,,1,,8/4/18,7938300000,-0.14,808400000,0.265,10389500000,13471700000,Consumer Defensive,Packaged Foods,11/2/20,,12400,0,2.6,4.11,5.54,10.13,,,3,8.77,4.45,12.79
CAH,Cardinal Health,,,52,,1,0,,8/4/18,1.37E+11,0.053,256000000,-0.801,39951000000,14349500000,Healthcare,Medical Distribution,11/2/20,,50200,,4.22,-4.47,-8.01,5.84,,,4.6,-2.42,-9.04,-91.07
CAKE,Cheesecake Factory,,,60,,0,0,,8/4/18,,,,,,,Consumer Cyclical,Restaurants,11/2/20,,,,2.42,-7.69,-6.55,2.38,,,5,-6.47,-5.74,-31.8
CAMP,CalAmp Corp.,,,,,,,,,,,,,,,Technology,Communication Equipment,11/2/20,,,,,-31.64,-18.01,11.44,,,1.3,-25.07,-15.28,-55.81
CAR,Avis Budget Group,,,38,,,0,,8/4/18,9124000000,0.031,165000000,-0.543,19149000000,2646200000,Industrials,Rental & Leasing Services,11/2/20,,25600,,,-9.34,-10.21,9.81,,,0,-7.28,-2.12,-215.75
LULU,Lululemon Athletica Inc.,,,,,,,,,,,,,,,Consumer Cyclical,Apparel Stores,11/3/20,,,#DIV/0!,,73.17,43.93,30.29,,,2.8,13.94,17.43,30.75
TSM,Taiwan Semiconductor Manufacturing Co,,,57,3.7,0,0,maybe,11/3/20,,,,,,,Technology,Semiconductors,11/3/20,463598,,#DIV/0!,2.02,28.93,33.14,24.27,28.78,99470,1.5,37.65,19.78,28.32
CB,Chubb Limited,,,48,,1,0,yes,8/4/18,,,,,,,Financial Services,Insurance - Property & Casualty,,,,#DIV/0!,,,,,,,,,,
CBRE,CBRE Group,,,64,3.6,,,,9/8/19,21340100000,0.502,1063200000,0.538,13456800000,16607000000,Real Estate,Real Estate Services,11/2/20,,90000,0,,10.34,7,10.95,,,2.7,4.48,6.86,17.83
CBRL,Cracker Barrel Old Country Store,,,50,,0,0,,8/4/18,,,,,,,Consumer Cyclical,Restaurants,11/2/20,,,,3.43,-4.95,1.27,11.68,,,0,-1.29,-1.57,-6.35
TER,Teradyne,,,,,1,0,no,8/4/18,,,,,,,Technology,Semiconductor Equipment & Materials,11/3/20,626,,#DIV/0!,0.44,28.74,35.61,23.33,,344,0,22.52,21.15,38.84
CC,Chemours,,,,,,,,,6638000000,0.074,995000000,0.334,7362000000,6179100000,Basic Materials,Specialty Chemicals,11/2/20,,7000,,4.97,-25.06,25.58,,,,0,-2.28,-1.62,-15.81
HD,Home Depot,,,60,,0,0,,8/4/18,1.08E+11,0.072,11121000000,0.289,44003000000,2.12E+11,Consumer Cyclical,Home Improvement Stores,11/2/20,,413000,0,2.2,20.64,18.58,25.25,,,2.6,,,
CCK,Crown Holdings,,,57,,1,0,,8/4/18,11151000000,0.282,439000000,0.359,15262000000,7384900000,Consumer Cyclical,Packaging & Containers,11/2/20,,33429,0,,14.36,10.66,10.75,,,6,4.52,3.33,29.2
GOOGL,Alphabet (Google) (Class A),,,83,,0,0,yes,8/4/18,,,,,,,Technology,Internet Content & Information,11/2/20,35713,,#DIV/0!,,15.91,16.78,13.52,15.40333333,27773,1.4,20.8,12.7,17.51
CTL,CenturyLink,,,30,,1,0,,8/4/18,23443000000,0.328,-1733000000,-2.248,70256000000,12946600000,Communication Services,Telecom Services,11/2/20,,45000,,,25.93,9.76,-3.6,,,0,-28.73,-13.11,-17.42
CE,Celanese,,,,,,,,,7155000000,0.165,1207000000,0.432,9313000000,12606600000,Basic Materials,Chemicals,11/2/20,575,7684,74830.81728,2.18,5.24,12.2,13.57,,71,3.5,10.46,5.99,21.88
CEIX,Consol Energy,,,36,,1,0,,8/4/18,,,,,,,Basic Materials,Coal,11/2/20,,,#DIV/0!,,,,,,,0,0.26,0.1,0.6
GWW,W.W. Grainger,,,56,3.7,,,maybe,11/13/20,11221000000,0.076,782000000,0.335,5873000000,16732700000,Industrials,Industrial Distribution,11/2/20,,23850,0,1.67,24.05,13.04,12.51,16.53333333,,3,5.38,10.08,31.48
CERN,Cerner,,,69,,1,0,maybe,8/4/18,,,,,,,Technology,Health Information Services,11/2/20,793,,#DIV/0!,1.03,3.67,1.97,12.8,,739,1.5,14.28,11.09,17.98
CVE,Cenovus Energy Inc.,,,,,,,,,,,,,,,Energy,Oil & Gas Integrated,11/2/20,,,,2.8,-28.24,-23.01,-11.52,,,0,-13.92,-6.16,-11.66
